iter	RMSE
429	10.692682
430	10.68123391
431	10.66386262
432	10.65736828
433	10.64529238
434	10.62779686
435	10.61514454
436	10.60173584
437	10.58606804
438	10.57243011
439	10.55616713
440	10.54581652
441	10.53332909
442	10.52382321
443	10.51444032
444	10.50191486
445	10.49132218
446	10.47071742
447	10.46321972
448	10.44838083
449	10.4373841
450	10.42215391
451	10.40850231
452	10.39992654
453	10.39051214
454	10.37783633
455	10.36521265
456	10.35150313
457	10.33823052
458	10.32957122
459	10.31517701
460	10.30168152
461	10.28392178
462	10.27145679
463	10.25259218
464	10.23580562
465	10.22558617
466	10.21101038
467	10.19985646
468	10.18567543
469	10.171535
470	10.16249738
471	10.15536634
472	10.14910673
473	10.13798643
474	10.12223902
475	10.10943068
476	10.09864208
477	10.08576957
478	10.07217076
479	10.0519573
480	10.03900513
481	10.03393675
482	10.02258531
483	10.01484261
484	9.998902745
485	9.99093502
486	9.980797332
487	9.963473812
488	9.948315911
489	9.932946923
490	9.922250563
491	9.912486844
492	9.906907161
493	9.894307721
494	9.883944811
495	9.874626814
496	9.862067878
497	9.84120583
498	9.830380377
499	9.8173028
500	9.803988041
501	9.792727886
502	9.77661502
503	9.765335093
504	9.746147269
505	9.736733777
506	9.72148455
507	9.711863594
508	9.702830231
509	9.689009367
510	9.682582775
511	9.669294561
512	9.656338849
513	9.641953203
514	9.627852932
515	9.62074326
516	9.60585996
517	9.596272469
518	9.584528236
519	9.574733972
520	9.561411376
521	9.553336092
522	9.543237245
523	9.531238253
524	9.52397349
525	9.513437265
526	9.499993676
527	9.487000749
528	9.476134615
529	9.462210433
530	9.445121797
531	9.428315837
532	9.420069209
533	9.414037935
534	9.405841184
535	9.389698538
536	9.376883458
537	9.361368615
538	9.35186321
539	9.346693371
540	9.334032843
541	9.325986807
542	9.313430005
543	9.300391769
544	9.286691916
545	9.27449874
546	9.258063486
547	9.243295708
548	9.237785048
549	9.225146955
550	9.210186338
551	9.191718126
552	9.180534118
553	9.171386366
554	9.161530944
555	9.154301498
556	9.13929699
557	9.128220164
558	9.12014264
559	9.112817372
560	9.101792412
561	9.090355069
562	9.077768187
563	9.062201083
564	9.053085042
565	9.042882036
566	9.028687537
567	9.017117395
568	9.008349483
569	9.002084427
570	8.992439382
571	8.983481124
572	8.970483745
573	8.960519025
574	8.951658595
575	8.942487399
576	8.936610567
577	8.92325402
578	8.908717821
579	8.89756755
580	8.889953569
581	8.883084421
582	8.870844144
583	8.859225142
584	8.841454492
585	8.832359698
586	8.820773786
587	8.81335137
588	8.802901619
589	8.792910704
590	8.782685795
591	8.772478432
592	8.760703765
593	8.745683859
594	8.734701685
595	8.723658945
596	8.717829926
597	8.712147959
598	8.698817001
599	8.690423798
600	8.679771912
601	8.671484978
602	8.663025813
603	8.652013057
604	8.643598087
605	8.633038884
606	8.625677767
607	8.614463191
608	8.601270737
609	8.590510743
610	8.578638141
611	8.565351511
612	8.554305218
613	8.545087297
614	8.533723011
615	8.52388548
616	8.520270875
617	8.506708695
618	8.498544462
619	8.488731842
620	8.478045409
621	8.470757766
622	8.456936065
623	8.446747964
624	8.43505452
625	8.427411889
626	8.41871078
627	8.407506481
628	8.398060092
629	8.392017665
630	8.382461908
631	8.36815966
632	8.361619673
633	8.355211539
634	8.350057083
635	8.341339041
636	8.329854452
637	8.323917107
638	8.316010953
639	8.307445867
640	8.297343898
641	8.28809869
642	8.280867286
643	8.264360723
644	8.254072523
645	8.246283549
646	8.235188608
647	8.226006476
648	8.217190444
649	8.210241125
650	8.193602159
651	8.19043308
652	8.179986693
653	8.170432455
654	8.166909729
655	8.157160473
656	8.151603807
657	8.14089379
658	8.13422081
659	8.121039514
660	8.114300483
661	8.105239935
662	8.094835734
663	8.086085666
664	8.078799641
665	8.06914827
666	8.060584157
667	8.047193506
668	8.034734338
669	8.026711274
670	8.014427608
671	8.001496985
672	7.99035986
673	7.983695841
674	7.977849306
675	7.967212035
676	7.9566343
677	7.946673079
678	7.939659836
679	7.927662774
680	7.919774889
681	7.911043259
682	7.906580676
683	7.8948532
684	7.886786245
685	7.876239215
686	7.86652569
687	7.857538655
688	7.850571028
689	7.839192401
690	7.828177826
691	7.816683459
692	7.804878936
693	7.800185884
694	7.791950627
695	7.777577634
696	7.76887651
697	7.754234029
698	7.747036694
699	7.736772316
700	7.727623329
701	7.715430791
702	7.708689161
703	7.701381153
704	7.69278723
705	7.685198547
706	7.67999535
707	7.673689171
708	7.667780665
709	7.659137269
710	7.647656363
711	7.640996906
712	7.632476284
713	7.621392048
714	7.611412457
715	7.600664095
716	7.594122653
717	7.583417772
718	7.574104692
719	7.567481129
720	7.55714221
721	7.550903718
722	7.541239679
723	7.532386841
724	7.518102383
725	7.510534747
726	7.500468727
727	7.492929496
728	7.486710191
729	7.479359547
730	7.468170846
731	7.463330314
732	7.449631442
733	7.44139822
734	7.431842152
735	7.423113138
736	7.416950963
737	7.407503596
738	7.398417387
739	7.388593866
740	7.38131368
741	7.3735541
742	7.364904625
743	7.356956049
744	7.349432021
745	7.340582894
746	7.33230678
747	7.323056041
748	7.315898523
749	7.308165179
750	7.301322074
751	7.294962707
752	7.281886745
753	7.271555955
754	7.261803669
755	7.252717675
756	7.242387515
757	7.232907196
758	7.224524319
759	7.2127991
760	7.204679759
761	7.195268221
762	7.186646026
763	7.183556587
764	7.175808791
765	7.168553683
766	7.159539267
767	7.154385131
768	7.145708143
769	7.137256223
770	7.127948863
771	7.123663249
772	7.116090985
773	7.106977632
774	7.096523285
775	7.084272762
776	7.074165894
777	7.06792349
778	7.063567608
779	7.054197071
780	7.047666435
781	7.03870329
782	7.027667571
783	7.017295207
784	7.011667016
785	7.003158848
786	6.994763378
787	6.986698661
788	6.978585442
789	6.971241072
790	6.965230116
791	6.958395887
792	6.952166251
793	6.948681408
794	6.942491818
795	6.933285808
796	6.929100538
797	6.916738531
798	6.909426881
799	6.903198789
