iter	RMSE
0	186.7991039
1	177.4159532
2	169.0215511
3	161.7757026
4	155.5676346
5	149.5503176
6	143.5427621
7	137.9880775
8	133.0584799
9	128.4477367
10	124.5466427
11	120.462963
12	116.3711032
13	113.1894431
14	109.846863
15	106.9442593
16	104.080463
17	101.286646
18	98.68891683
19	96.17961617
20	93.6851343
21	91.39026772
22	89.08007769
23	86.90375685
24	84.93159287
25	83.12815649
26	81.05721459
27	79.214272
28	77.48725448
29	75.78962139
30	74.19217575
31	72.7286067
32	71.13969769
33	69.57222064
34	67.99334709
35	66.48851305
36	65.08188389
37	63.73774586
38	62.40908952
39	61.14153776
40	60.0782963
41	58.89052811
42	57.86957077
43	56.70325796
44	55.66748315
45	54.64632999
46	53.64952991
47	52.60698081
48	51.71575027
49	50.79482451
50	49.9352328
51	49.02480164
52	48.15863017
53	47.35308468
54	46.58959907
55	45.8513309
56	45.16533428
57	44.47311679
58	43.81910736
59	43.1279372
60	42.42300507
61	41.76137812
62	41.13339176
63	40.47698929
64	39.91649358
65	39.31348121
66	38.74369523
67	38.17817957
68	37.60565216
69	37.11438557
70	36.56255747
71	36.05568488
72	35.5310355
73	35.04185363
74	34.57824349
75	34.07183253
76	33.61637848
77	33.17910762
78	32.69433794
79	32.28777838
80	31.85074413
81	31.45979004
82	31.04831254
83	30.66768676
84	30.26817897
85	29.88613671
86	29.51465499
87	29.14494929
88	28.79874207
89	28.45499476
90	28.12365329
91	27.79483502
92	27.47850766
93	27.19141528
94	26.88622667
95	26.58480923
96	26.28357227
97	25.98575026
98	25.70974979
99	25.45893445
100	25.18716379
101	24.9025866
102	24.63743366
103	24.38336063
104	24.13709532
105	23.92502794
106	23.6884429
107	23.45160656
108	23.22370416
109	23.00364439
110	22.81412323
111	22.62339151
112	22.40167256
113	22.20222945
114	22.00510964
115	21.8337302
116	21.65910989
117	21.49332904
118	21.30587888
119	21.11319107
120	20.96155165
121	20.79629529
122	20.6430348
123	20.50285891
124	20.35805541
125	20.21022875
126	20.07466476
127	19.94808461
128	19.82204571
129	19.70219625
130	19.58268773
131	19.45122195
132	19.32873788
133	19.20656839
134	19.09343731
135	18.99010784
136	18.87792841
137	18.77325238
138	18.65889732
139	18.55622024
140	18.46069115
141	18.3642423
142	18.27056117
143	18.177697
144	18.09223042
145	18.00134987
146	17.91127186
147	17.82997132
148	17.75750073
149	17.6614442
150	17.58243343
151	17.50821124
152	17.43093215
153	17.34754989
154	17.27514463
155	17.2088124
156	17.13533784
157	17.06318464
158	16.98776081
159	16.92940616
160	16.87189611
161	16.81142031
162	16.7565941
163	16.69201445
164	16.63147267
165	16.57369186
166	16.52225734
167	16.47486204
168	16.41452133
169	16.36249166
170	16.31380219
171	16.26229342
172	16.21910839
173	16.16393056
174	16.10573356
175	16.05267552
176	16.01172036
177	15.96878747
178	15.92731489
179	15.88141091
180	15.84360973
181	15.7960673
182	15.76055467
183	15.7270629
184	15.68051539
185	15.64280177
186	15.61013192
187	15.56953918
188	15.53219038
189	15.50227714
190	15.4643227
191	15.42851767
192	15.39027168
193	15.35984637
194	15.33163573
195	15.3024373
196	15.25532403
197	15.23042558
198	15.20139999
199	15.1735378
200	15.12077226
201	15.0889669
202	15.06399997
203	15.02881347
204	14.99841261
205	14.9664836
206	14.94281814
207	14.9188473
208	14.88905133
209	14.87104838
210	14.84267936
211	14.8160882
212	14.77051082
213	14.71927081
214	14.70103877
215	14.6700464
216	14.64607159
217	14.61369589
218	14.58404241
219	14.56698877
220	14.5446563
221	14.50801498
222	14.47926461
223	14.44430893
224	14.42267051
225	14.3866555
226	14.35008772
227	14.32210213
228	14.27645102
229	14.24668364
230	14.22758717
231	14.20284588
232	14.17820579
233	14.13986195
234	14.10963436
235	14.08222299
236	14.06330681
237	14.04532553
238	14.0280432
239	14.01393888
240	13.98777038
241	13.96975682
242	13.94481094
243	13.92438343
244	13.88162834
245	13.86739417
246	13.84609232
247	13.82038165
248	13.79847043
249	13.7760058
250	13.75249928
251	13.73131135
252	13.71960866
253	13.68369121
254	13.67127585
255	13.65054282
256	13.62563253
257	13.6055277
258	13.59365683
259	13.571246
260	13.54811291
261	13.52891851
262	13.50370364
263	13.47468135
264	13.46102804
265	13.44721107
266	13.43593357
267	13.40038767
268	13.386376
269	13.35617703
270	13.32713113
271	13.30846728
272	13.28668097
273	13.26395241
274	13.23801924
275	13.21927647
276	13.20049204
277	13.18006208
278	13.16068779
279	13.14537907
280	13.12616597
281	13.0968181
282	13.07014351
283	13.04631894
284	13.01605169
285	12.99955935
286	12.97698526
287	12.96038745
288	12.93025427
289	12.90012903
290	12.8912011
291	12.87395337
292	12.86433436
293	12.84749494
294	12.8262761
295	12.80910114
296	12.79035126
297	12.77705117
298	12.74978867
299	12.73641873
300	12.71771662
301	12.69927393
302	12.68104812
303	12.66655912
304	12.6419089
305	12.6172322
306	12.60447017
307	12.58875963
308	12.57208367
309	12.55596544
310	12.53995357
311	12.53052236
312	12.50367329
313	12.49211084
314	12.46878628
315	12.45408751
316	12.44439911
317	12.43255711
318	12.41068847
319	12.39438096
320	12.36876356
321	12.35590656
322	12.33395641
323	12.3120911
324	12.29333453
325	12.28206636
326	12.26976519
327	12.25330239
328	12.23950928
329	12.22872053
330	12.21107043
331	12.18742209
332	12.16724706
333	12.15125746
334	12.13760356
335	12.12797886
336	12.12119187
337	12.10537934
338	12.08507145
339	12.07616485
340	12.05873138
341	12.03461546
342	12.02710746
343	12.0120452
344	11.99497436
345	11.9852547
346	11.96732471
347	11.94617403
348	11.93150605
349	11.90921023
350	11.88780896
351	11.86977263
352	11.86272228
353	11.84170037
354	11.82803723
355	11.81692015
356	11.79837696
357	11.78070906
358	11.76515045
359	11.73011304
360	11.70517334
361	11.69477543
362	11.67676048
363	11.65558673
364	11.63988565
365	11.62539525
366	11.60908791
367	11.59096291
368	11.57554936
369	11.55846525
370	11.5455299
371	11.5232945
372	11.50591492
373	11.48357621
374	11.47344131
375	11.45775672
376	11.44454425
377	11.42769252
378	11.40494065
379	11.38979374
380	11.3732011
381	11.35646912
382	11.34793701
383	11.33563604
384	11.3305125
385	11.31427675
386	11.30359153
387	11.28804569
388	11.26726039
389	11.25033748
390	11.22822106
391	11.22092661
392	11.20575384
393	11.18376821
394	11.16353408
395	11.14844293
396	11.13346139
397	11.11391161
398	11.10273545
399	11.09036324
400	11.08564061
401	11.07121726
402	11.05792761
403	11.04467889
404	11.030138
405	11.01684327
406	11.00071424
407	10.98233546
408	10.96563753
409	10.95168537
410	10.94332103
411	10.93420688
412	10.92619765
413	10.91012918
414	10.8969123
415	10.87921353
416	10.86499466
417	10.85165532
418	10.83555305
419	10.82408462
420	10.81049139
421	10.79433143
422	10.78165224
423	10.76473545
424	10.75263864
425	10.73640733
426	10.72652963
427	10.71783425
428	10.70599788
